power,L_over_R_H,N_eff,sigma_0_eff,L_metres,L_over_l_P
2,1e-60,100.0,0.1,1.4e-34,8.661999498841457
2,1.2594094418627684e-60,158.611214225309,0.07940229497731247,1.7631732186078758e-34,10.9090039542515
2,1.5861121422530896e-60,251.5751727802685,0.06304724447664142,2.2205569991543255e-34,13.738902581302613
2,1.9975646078066905e-60,399.0264362361897,0.050060959034411,2.7965904509293667e-34,17.302903631724984
2,2.515751727802644e-60,632.9006755941987,0.039749550360974585,3.5220524189237015e-34,21.791440205436032
2,3.168361479377223e-60,1003.8514464001425,0.031562055229776405,4.435706071128112e-34,27.444345546514082
2,3.990264362361963e-60,1592.2209681535921,0.025060996194449348,5.586370107306748e-34,34.56366790702425
2,5.025376613487175e-60,2525.4410107383824,0.019899006122569726,7.035527258882045e-34,43.52980970751549
2,6.329006755941988e-60,4005.6326516759327,0.01580026753899654,8.860609458318784e-34,54.8218533481337
2,7.970810866046588e-60,6353.382586228637,0.012545775038518586,1.1159135212465224e-33,69.0431597270556
2,1.0038514464001423e-59,10077.177264396576,0.009961633303274566,1.4053920249601992e-33,86.95360725629304
2,1.2642599898239358e-59,15983.533218696184,0.007909765460024268,1.76996398575351e-33,109.51019398260237
2,1.5922209681535923e-59,25351.676114279628,0.006280535302582046,2.2291093554150293e-33,137.91817228191277
2,2.0052581208245125e-59,40210.60131132655,0.0049868891671104405,2.8073613691543176e-33,173.6954483762969
2,2.5254410107383413e-59,63778.522987190954,0.003959704446660738,3.535617415033678e-33,218.75368769369177
2,3.1805642537913196e-59,101159.88972495134,0.003144096204967319,4.4527899553078474e-33,275.50045972373465
2,4.005632651675998e-59,160450.92940172888,0.0024964845430386377,5.6078857123463976e-33,346.96788021360476
2,5.04473158215455e-59,254493.1673598755,0.0019822660209265503,7.06262421501637e-33,436.9746243641238
2,6.353382586228741e-59,403654.7028699461,0.0015739647131711343,8.894735620720237e-33,550.329967778614
2,8.00151001686284e-59,640241.6254995638,0.0012497641043909746,1.1202114023607976e-32,693.0907575604082
2,1.0077177264396578e-58,1015495.016180713,0.0009923413806890893,1.410804817015521e-32,872.8850441393969
2,1.2691292194105874e-58,1610688.9755617268,0.000787941830276686,1.7767809071748224e-32,1099.3196662499558
2,1.5983533218696185e-58,2554733.3415316446,0.000625643896325929,2.237694650617466e-32,1384.4935673006214
2,2.012981264995318e-58,4052093.573222151,0.0004967756120682653,2.8181737709934455e-32,1743.644270856669
2,2.5351676114279215e-58,6427074.818033152,0.0003944512368698,3.54923465599909e-32,2195.9620579667753
2,3.192814026537006e-58,10194061.408051452,0.0003132033346410161,4.4699396371518086e-32,2765.6153497757523
2,4.021060131132588e-58,16168924.578184027,0.0002486906356504388,5.629484183585623e-32,3483.042084068184
2,5.064161095446323e-58,25645727.60063211,0.00019746607210011476,7.089825533624853e-32,4386.576087080846
2,6.377852298719199e-58,40676999.94427777,0.0001567925930490457,8.928993218206878e-32,5524.495341519053
2,8.032327403812989e-58,64518283.52204511,0.00012449691723538244,1.1245258365338185e-31,6957.601594635862
2,1.0115988972495136e-57,102333232.8916432,9.885340946089894e-05,1.416238456149319e-31,8762.469141003858
2,1.2740172025740017e-57,162311983.2454485,7.84918757752735e-05,1.7836240836036025e-31,11035.5363702114
2,1.604509294017289e-57,257445007.45878586,6.232435073630835e-05,2.2463130116242045e-31,13898.258700664217
2,2.0207341544419383e-57,408336652.2928176,4.948696481433837e-05,2.8290278162187137e-31,17503.598233067885
2,2.5449316735987128e-57,647667722.3285946,3.929378577720043e-05,3.562904343038198e-31,22044.1968812978
2,3.205110978625836e-57,1027273638.5307864,3.120016769056594e-05,4.48715537007617e-31,27762.66969058824
2,4.036547028699395e-57,1629371191.4901915,2.4773649183079314e-05,5.651165840179153e-31,34964.56833964413
2,5.083665440467121e-57,2584365431.0599766,1.96708460009932e-05,7.11713161665397e-31,44034.70749760384
2,6.40241625499574e-57,4099093390.223368,1.5619103166241497e-05,8.963382756994037e-31,55457.72639214751
2,8.063263482277169e-57,6501621798.462455,1.2401926368870028e-05,1.1288568875188036e-30,69843.98424251146
2,1.0154950161807132e-56,10312301278.87867,9.847414158279278e-06,1.4216930226529985e-30,87962.17321233335
2,1.2789240115425748e-56,16356466273.00152,7.819072837594547e-06,1.7904936161596048e-30,110780.3914703809
2,1.6106889755617267e-56,25943189759.960846,6.2085232789977395e-06,2.2549645657864175e-30,139517.87099105137
2,2.0285169037267084e-56,41148808287.04992,4.929709967724897e-06,2.839923665217392e-30,175710.12403472172
2,2.5547333415316446e-56,65266624463.334435,3.914302850098899e-06,3.576626678144303e-30,221290.9892402067
