a,b,sigma,n_paths,n_steps,x_span,mean_abs_X,rms_X,p95_abs_X,p99_abs_X,median_abs_X,frac_abs_gt_1e-06,frac_abs_gt_1e-05,frac_abs_gt_1e-04,frac_abs_gt_1e-03
1.0,1e-06,1e-08,20000,8000,1.0,7.98103642797451e-09,9.991780515251519e-09,1.953608836832485e-08,2.54118891999099e-08,6.720627578238994e-09,0.0,0.0,0.0,0.0
1.0,1e-06,2.848035868435799e-08,20000,8000,1.0,2.2926435020072642e-08,2.8745384220834288e-08,5.683780336897165e-08,7.327718133092435e-08,1.9310818444672715e-08,0.0,0.0,0.0,0.0
1.0,1e-06,8.111308307896873e-08,20000,8000,1.0,6.501580350961141e-08,8.158385753538891e-08,1.5931225687127725e-07,2.0923501993507572e-07,5.5202647075397206e-08,0.0,0.0,0.0,0.0
1.0,1e-06,2.310129700083158e-07,20000,8000,1.0,1.8422587222353907e-07,2.306535231809984e-07,4.487097587588145e-07,5.985923458193729e-07,1.5638932238971792e-07,0.0,0.0,0.0,0.0
1.0,1e-06,6.579332246575682e-07,20000,8000,1.0,5.265614118780251e-07,6.589629611416637e-07,1.2905684505968892e-06,1.692766494428463e-06,4.4644205081243715e-07,0.12845,0.0,0.0,0.0
1.0,1e-06,1.873817422860383e-06,20000,8000,1.0,1.4934896186472715e-06,1.8766848575662468e-06,3.695934516869169e-06,4.9167921740972596e-06,1.2515017853025619e-06,0.5923,0.0,0.0,0.0
1.0,1e-06,5.336699231206302e-06,20000,8000,1.0,4.279304376592575e-06,5.359479996990823e-06,1.0487223886154822e-05,1.3763566949966409e-05,3.6038017875072524e-06,0.85285,0.0619,0.0,0.0
1.0,1e-06,1.5199110829529332e-05,20000,8000,1.0,1.2178705782891194e-05,1.526935857812757e-05,2.996501440908001e-05,3.9076854331676526e-05,1.0241706624844139e-05,0.9469,0.5108,0.0,0.0
1.0,1e-06,4.328761281083062e-05,20000,8000,1.0,3.482784748526825e-05,4.36483064750967e-05,8.522503729855412e-05,0.00011273561185610014,2.9418926724887735e-05,0.9805,0.81655,0.0229,0.0
1.0,1e-06,0.0001232846739442066,20000,8000,1.0,9.805650035501084e-05,0.0001225090156446728,0.00023946444592610078,0.0003148009254028819,8.324423143809206e-05,0.9942,0.93555,0.41565,0.0
