theta_case,theta,path,Delta_x,target,target_value,A0_required,A0_over_Sorkin
theta_MLE=0.001,0.001,DESI_0.94,0.94,DESI_limit_1.5e-4,0.00015,0.00015014106629076946,1.5014106629076946e+57
theta_MLE=0.001,0.001,DESI_0.94,0.94,Euclid_1e-5,1e-05,1.0009404419384632e-05,1.0009404419384632e+56
theta_MLE=0.001,0.001,recomb,6.994849985833071,DESI_limit_1.5e-4,0.00015,0.00015105290566341998,1.5105290566341998e+57
theta_MLE=0.001,0.001,recomb,6.994849985833071,Euclid_1e-5,1e-05,1.0070193710894668e-05,1.0070193710894666e+56
theta=1.2 (old),1.2,DESI_0.94,0.94,DESI_limit_1.5e-4,0.00015,0.00046342070614679737,4.634207061467974e+57
theta=1.2 (old),1.2,DESI_0.94,0.94,Euclid_1e-5,1e-05,3.089471374311983e-05,3.0894713743119827e+56
theta=1.2 (old),1.2,recomb,6.994849985833071,DESI_limit_1.5e-4,0.00015,0.662950282120471,6.62950282120471e+60
theta=1.2 (old),1.2,recomb,6.994849985833071,Euclid_1e-5,1e-05,0.04419668547469807,4.419668547469807e+59
theta=ln2~0.693 (Hubble half-life),0.6931471805599453,DESI_0.94,0.94,DESI_limit_1.5e-4,0.00015,0.00028777923579757927,2.8777923579757926e+57
theta=ln2~0.693 (Hubble half-life),0.6931471805599453,DESI_0.94,0.94,Euclid_1e-5,1e-05,1.918528238650529e-05,1.9185282386505288e+56
theta=ln2~0.693 (Hubble half-life),0.6931471805599453,recomb,6.994849985833071,DESI_limit_1.5e-4,0.00015,0.019131583604510928,1.9131583604510926e+59
theta=ln2~0.693 (Hubble half-life),0.6931471805599453,recomb,6.994849985833071,Euclid_1e-5,1e-05,0.0012754389069673953,1.2754389069673954e+58
theta=0.099 (half over recomb path),0.0990939308153573,DESI_0.94,0.94,DESI_limit_1.5e-4,0.00015,0.00016464367430808497,1.6464367430808496e+57
theta=0.099 (half over recomb path),0.0990939308153573,DESI_0.94,0.94,Euclid_1e-5,1e-05,1.0976244953872332e-05,1.0976244953872332e+56
theta=0.099 (half over recomb path),0.0990939308153573,recomb,6.994849985833071,DESI_limit_1.5e-4,0.00015,0.0003,2.9999999999999996e+57
theta=0.099 (half over recomb path),0.0990939308153573,recomb,6.994849985833071,Euclid_1e-5,1e-05,2e-05,2e+56
