gamma,n_th,r,t_half,t_half_theory,gamma_eff,rel_err,abs_a2_0
0.4,0.0,0.8,1.7328761056570074,1.732867951399863,0.4,4.705642537743322e-06,1.1877839766001137
0.4,0.0,1.2,1.7328761016334142,1.732867951399863,0.4,4.703320610539857e-06,2.7331143014991333
0.4,0.0,1.5,1.7328761031443594,1.732867951399863,0.4,4.7041925437679814e-06,5.00738263179306
0.4,0.0,1.8,1.7328761032583584,1.732867951399863,0.4,4.704258330103486e-06,8.95423967786134
0.4,0.1,0.8,1.732876105682789,1.4440566261665528,0.48,0.20000564678889865,1.1877839766001137
0.4,0.1,1.2,1.7328761012602887,1.4440566261665528,0.48,0.20000564372634536,2.7331143014991333
0.4,0.1,1.5,1.7328758140411435,1.4440566261665528,0.48,0.2000054448289199,5.00738263179306
0.4,0.1,1.8,1.7328703580647902,1.4440566261665528,0.48,0.20000166660010638,8.95423967786134
0.4,0.3,0.8,1.7328761083298194,1.0830424696249144,0.6400000000000001,0.6000075314959341,1.1877839766001137
0.4,0.3,1.2,1.7328761006983024,1.0830424696249144,0.6400000000000001,0.6000075244495651,2.7331143014991333
0.4,0.3,1.5,1.732873974565347,1.0830424696249144,0.6400000000000001,0.6000055613382235,5.00738263179306
0.4,0.3,1.8,1.7328338612756686,1.0830424696249144,0.6400000000000001,0.5999685237420042,8.95423967786134
0.4,0.5,0.8,1.7328761018052472,0.8664339756999315,0.8,1.000009406839543,1.1877839766001137
0.4,0.5,1.2,1.7328760970047252,0.8664339756999315,0.8,1.0000094012989917,2.7331143014991333
0.4,0.5,1.5,1.7328709768832802,0.8664339756999315,0.8,1.0000034918799376,5.00738263179306
0.4,0.5,1.8,1.7327745781555717,0.8664339756999315,0.8,0.9998922327068073,8.95423967786134
0.4,1.0,0.8,1.7328761013672214,0.577622650466621,1.2000000000000002,2.00001410950099,1.1877839766001137
0.4,1.0,1.2,1.7328760813898576,0.577622650466621,1.2000000000000002,2.0000140749154975,2.7331143014991333
0.4,1.0,1.5,1.7328594753281306,0.577622650466621,1.2000000000000002,1.9999853259360147,5.00738263179306
0.4,1.0,1.8,1.732549393432339,0.577622650466621,1.2000000000000002,1.999448501600021,8.95423967786134
0.8,0.0,0.8,0.8664553257106776,0.8664339756999315,0.8,2.464124370106168e-05,1.1877839766001137
0.8,0.0,1.2,0.8664553221258172,0.8664339756999315,0.8,2.4637106212794756e-05,2.7331143014991333
0.8,0.0,1.5,0.86645532204214,0.8664339756999315,0.8,2.463700963627693e-05,5.00738263179306
0.8,0.0,1.8,0.8664553220037972,0.8664339756999315,0.8,2.463696538260556e-05,8.95423967786134
0.8,0.1,0.8,0.8664553212995884,0.7220283130832764,0.96,0.20002956338313868,1.1877839766001137
0.8,0.1,1.2,0.8664553219236426,0.7220283130832764,0.96,0.20002956424744586,2.7331143014991333
0.8,0.1,1.5,0.8664551779099439,0.7220283130832764,0.96,0.2000293647903108,5.00738263179306
0.8,0.1,1.8,0.8664524580313493,0.7220283130832764,0.96,0.200025597793165,8.95423967786134
0.8,0.3,0.8,0.8664553213105084,0.5415212348124572,1.2800000000000002,0.6000394178643508,1.1877839766001137
0.8,0.3,1.2,0.8664553203658494,0.5415212348124572,1.2800000000000002,0.6000394161198965,2.7331143014991333
0.8,0.3,1.5,0.8664542609131715,0.5415212348124572,1.2800000000000002,0.6000374596819772,5.00738263179306
0.8,0.3,1.8,0.8664342645064181,0.5415212348124572,1.2800000000000002,0.6000005333243982,8.95423967786134
0.8,0.5,0.8,0.8664553195682201,0.43321698784996576,1.6,1.0000492683086932,1.1877839766001137
0.8,0.5,1.2,0.8664553184774911,0.43321698784996576,1.6,1.0000492657909505,2.7331143014991333
0.8,0.5,1.5,0.8664527665101828,0.43321698784996576,1.6,1.000043375054022,5.00738263179306
0.8,0.5,1.8,0.8664047120916266,0.43321698784996576,1.6,0.999932450459872,8.95423967786134
0.8,1.0,0.8,0.8664609416664499,0.2888113252333105,2.4000000000000004,2.000093368798806,1.1877839766001137
0.8,1.0,1.2,0.8664565262216019,0.2888113252333105,2.4000000000000004,2.0000780804618796,2.7331143014991333
0.8,1.0,1.5,0.8664471818865369,0.2888113252333105,2.4000000000000004,2.0000457259998194,5.00738263179306
0.8,1.0,1.8,0.8662924583989354,0.2888113252333105,2.4000000000000004,1.999510000859967,8.95423967786134
1.2,0.0,0.8,0.5776555342659492,0.5776226504666211,1.2,5.69295530594632e-05,1.1877839766001137
1.2,0.0,1.2,0.5776555340015078,0.5776226504666211,1.2,5.692909524958077e-05,2.7331143014991333
1.2,0.0,1.5,0.5776555341626621,0.5776226504666211,1.2,5.692937424541306e-05,5.00738263179306
1.2,0.0,1.8,0.5776555341213614,0.5776226504666211,1.2,5.692930274416467e-05,8.95423967786134
1.2,0.1,0.8,0.5776555319285269,0.48135220872218426,1.44,0.20006831060772132,1.1877839766001137
1.2,0.1,1.2,0.5776555338303014,0.48135220872218426,1.44,0.20006831455862148,2.7331143014991333
1.2,0.1,1.5,0.5776554377803585,0.48135220872218426,1.44,0.20006811501670363,5.00738263179306
1.2,0.1,1.8,0.5776536190729157,0.48135220872218426,1.44,0.20006433668680315,8.95423967786134
1.2,0.3,0.8,0.577655535090737,0.3610141565416382,1.92,0.6000910895695362,1.1877839766001137
1.2,0.3,1.2,0.5776555330495422,0.3610141565416382,1.92,0.6000910839154787,2.7331143014991333
1.2,0.3,1.5,0.5776548245986634,0.3610141565416382,1.92,0.600089121524625,5.00738263179306
1.2,0.3,1.8,0.5776414532338962,0.3610141565416382,1.92,0.6000520831854771,8.95423967786134
1.2,0.5,0.8,0.5776561395534431,0.28881132523331055,2.4,1.0001159548947567,1.1877839766001137
1.2,0.5,1.2,0.577655594622552,0.28881132523331055,2.4,1.0001140680889307,2.7331143014991333
1.2,0.5,1.5,0.5776538688295013,0.28881132523331055,2.4,1.0001080925855488,5.00738263179306
1.2,0.5,1.8,0.577621699804635,0.28881132523331055,2.4,0.9999967083632009,8.95423967786134
1.2,1.0,0.8,0.5776604835305211,0.19254088348887372,3.5999999999999996,2.0001964936652126,1.1877839766001137
1.2,1.0,1.2,0.5776555425647786,0.19254088348887372,3.5999999999999996,2.000170831760826,2.7331143014991333
1.2,1.0,1.5,0.5776500751066833,0.19254088348887372,3.5999999999999996,2.000142435411977,5.00738263179306
1.2,1.0,1.8,0.577546627867054,0.19254088348887372,3.5999999999999996,1.9996051612613925,8.95423967786134
2.4,0.0,0.8,0.2888558578551227,0.28881132523331055,2.4,0.00015419278235079094,1.1877839766001137
2.4,0.0,1.2,0.2888558578484519,0.28881132523331055,2.4,0.00015419275925344515,2.7331143014991333
2.4,0.0,1.5,0.28885585768436034,0.28881132523331055,2.4,0.00015419219109160618,5.00738263179306
2.4,0.0,1.8,0.28885585709288336,0.28881132523331055,2.4,0.00015419014312143732,8.95423967786134
