A0,theta,sigma_DESI_path,sigma_Euclid_narrow_path,sigma_recomb_path,t_half_Gyr,damping_factor_DESI
1e-61,0.001,9.99060441661602e-62,9.996123096403283e-62,9.930295570363532e-62,10055.776159518018,0.9990604416616019
1e-61,0.05,9.540873975903712e-62,9.807984672557544e-62,7.048695707657256e-62,201.11552319036036,0.9540873975903711
1e-61,0.1,9.10282762240767e-62,9.619656333712371e-62,4.968411117914583e-62,100.55776159518018,0.910282762240767
1e-61,0.3,7.54273684533089e-62,8.901817182373468e-62,1.2264577018446282e-62,33.51925386506006,0.754273684533089
1e-61,0.5,6.250022682827008e-62,8.23754471047914e-62,3.0275242098833634e-63,20.111552319036036,0.6250022682827008
1e-61,0.693,5.213049978355281e-62,7.643560892537062e-62,7.848514190624286e-64,14.51049950868401,0.5213049978355281
1e-61,1.0,3.9062783535852115e-62,6.785714285714287e-62,9.165902841429883e-65,10.055776159518018,0.39062783535852114
1e-61,1.2,3.236799694325368e-62,6.27934989855685e-62,2.2626131105973655e-65,8.379813466265015,0.3236799694325368
1e-61,2.0,1.5259010575688389e-62,4.604591836734694e-62,8.401377489853241e-68,5.027888079759009,0.1525901057568839
1e-61,3.0,5.960594270893937e-63,3.1245444606414005e-62,7.700620980617087e-71,3.351925386506006,0.05960594270893936
1e-61,5.0,9.095277101695825e-64,1.4387251916983995e-62,6.469582376444798e-77,2.0111552319036035,0.009095277101695824
1e-10,0.001,9.990604416616019e-11,9.996123096403282e-11,9.930295570363531e-11,10055.776159518018,0.9990604416616019
1e-10,0.05,9.540873975903711e-11,9.807984672557545e-11,7.048695707657255e-11,201.11552319036036,0.9540873975903711
1e-10,0.1,9.10282762240767e-11,9.61965633371237e-11,4.9684111179145825e-11,100.55776159518018,0.910282762240767
1e-10,0.3,7.542736845330889e-11,8.901817182373467e-11,1.2264577018446283e-11,33.51925386506006,0.754273684533089
1e-10,0.5,6.250022682827008e-11,8.237544710479141e-11,3.0275242098833636e-12,20.111552319036036,0.6250022682827008
1e-10,0.693,5.213049978355281e-11,7.643560892537062e-11,7.848514190624286e-13,14.51049950868401,0.5213049978355281
1e-10,1.0,3.9062783535852114e-11,6.785714285714287e-11,9.165902841429884e-14,10.055776159518018,0.39062783535852114
1e-10,1.2,3.236799694325368e-11,6.27934989855685e-11,2.2626131105973655e-14,8.379813466265015,0.3236799694325368
1e-10,2.0,1.525901057568839e-11,4.604591836734694e-11,8.40137748985324e-17,5.027888079759009,0.1525901057568839
1e-10,3.0,5.960594270893936e-12,3.1245444606414006e-11,7.700620980617088e-20,3.351925386506006,0.05960594270893936
1e-10,5.0,9.095277101695824e-13,1.4387251916983995e-11,6.469582376444798e-26,2.0111552319036035,0.009095277101695824
1e-06,0.001,9.990604416616018e-07,9.996123096403281e-07,9.93029557036353e-07,10055.776159518018,0.9990604416616019
1e-06,0.05,9.54087397590371e-07,9.807984672557542e-07,7.048695707657255e-07,201.11552319036036,0.9540873975903711
1e-06,0.1,9.102827622407669e-07,9.61965633371237e-07,4.968411117914582e-07,100.55776159518018,0.910282762240767
1e-06,0.3,7.542736845330889e-07,8.901817182373467e-07,1.2264577018446282e-07,33.51925386506006,0.754273684533089
1e-06,0.5,6.250022682827008e-07,8.23754471047914e-07,3.027524209883363e-08,20.111552319036036,0.6250022682827008
1e-06,0.693,5.21304997835528e-07,7.643560892537061e-07,7.848514190624285e-09,14.51049950868401,0.5213049978355281
1e-06,1.0,3.9062783535852113e-07,6.785714285714286e-07,9.165902841429883e-10,10.055776159518018,0.39062783535852114
1e-06,1.2,3.236799694325368e-07,6.279349898556849e-07,2.2626131105973654e-10,8.379813466265015,0.3236799694325368
1e-06,2.0,1.525901057568839e-07,4.604591836734694e-07,8.40137748985324e-13,5.027888079759009,0.1525901057568839
1e-06,3.0,5.960594270893935e-08,3.1245444606414e-07,7.700620980617087e-16,3.351925386506006,0.05960594270893936
1e-06,5.0,9.095277101695823e-09,1.4387251916983994e-07,6.469582376444797e-22,2.0111552319036035,0.009095277101695824
1e-05,0.001,9.99060441661602e-06,9.996123096403283e-06,9.930295570363532e-06,10055.776159518018,0.9990604416616019
1e-05,0.05,9.540873975903711e-06,9.807984672557544e-06,7.048695707657256e-06,201.11552319036036,0.9540873975903711
1e-05,0.1,9.102827622407671e-06,9.61965633371237e-06,4.968411117914583e-06,100.55776159518018,0.910282762240767
1e-05,0.3,7.54273684533089e-06,8.901817182373468e-06,1.2264577018446282e-06,33.51925386506006,0.754273684533089
1e-05,0.5,6.2500226828270084e-06,8.237544710479141e-06,3.0275242098833633e-07,20.111552319036036,0.6250022682827008
1e-05,0.693,5.213049978355281e-06,7.643560892537061e-06,7.848514190624287e-08,14.51049950868401,0.5213049978355281
1e-05,1.0,3.906278353585212e-06,6.785714285714287e-06,9.165902841429885e-09,10.055776159518018,0.39062783535852114
1e-05,1.2,3.2367996943253683e-06,6.27934989855685e-06,2.2626131105973658e-09,8.379813466265015,0.3236799694325368
1e-05,2.0,1.525901057568839e-06,4.604591836734695e-06,8.40137748985324e-12,5.027888079759009,0.1525901057568839
1e-05,3.0,5.960594270893936e-07,3.1245444606414007e-06,7.700620980617088e-15,3.351925386506006,0.05960594270893936
1e-05,5.0,9.095277101695825e-08,1.4387251916983997e-06,6.469582376444798e-21,2.0111552319036035,0.009095277101695824
