# tc_Gyr ll dlnL_vs_LCDM max_abs_rank1_amp
6.631981202212668125e-02 -5.147700431663933429e+00 -3.004726295230305055e+01 9.579315748027757263e+10
6.881376986415663199e-02 8.567327819118650822e-01 -2.404282973872724938e+01 2.363971720385454893e+08
7.140151304013395150e-02 6.643552524649392055e+00 -1.825600999598972152e+01 7.252010009589851834e+05
7.408656834939560121e-02 1.222064557309837873e+01 -1.267891694754073661e+01 2.743832897946378580e+03
7.687259521663727946e-02 1.759561264446318773e+01 -7.303949876175927614e+00 1.270688271612568876e+01
7.976339067929272275e-02 2.276870102948139873e+01 -2.130861491157716614e+00 7.150247452408350912e-02
8.276289456246344045e-02 2.489795847125635220e+01 -1.604049382763150788e-03 4.854423940772377931e-04
8.587519484845169970e-02 2.489956241429781869e+01 -1.063412966573196172e-07 3.949425458821829121e-06
8.910453324821512866e-02 2.489956252062914643e+01 -9.968914582714205608e-12 3.825267769321016071e-08
9.245531098233569778e-02 2.489956252063911535e+01 0.000000000000000000e+00 4.383053604513056773e-10
9.593209477938241525e-02 2.489956252063911535e+01 0.000000000000000000e+00 5.905185417018965619e-12
9.953962309984233647e-02 2.489956252063911535e+01 0.000000000000000000e+00 9.299996245981756979e-14
1.032828125941028519e-01 2.489956252063911535e+01 0.000000000000000000e+00 1.702423250816415194e-15
1.071667648032863240e-01 2.489956252063911535e+01 0.000000000000000000e+00 3.602632360714226305e-17
1.111967731120698938e-01 2.489956252063911535e+01 0.000000000000000000e+00 8.767139218202866806e-19
1.153783299629660836e-01 2.489956252063911535e+01 0.000000000000000000e+00 2.441080153576295269e-20
1.197171343418965694e-01 2.489956252063911535e+01 0.000000000000000000e+00 7.738783416046898568e-22
1.242190995452616131e-01 2.489956252063911535e+01 0.000000000000000000e+00 2.780270282188597332e-23
1.288903612390891462e-01 2.489956252063911535e+01 0.000000000000000000e+00 1.126824315578412962e-24
1.337372858212494964e-01 2.489956252063911535e+01 0.000000000000000000e+00 5.129591928562499072e-26
1.387664790981306961e-01 2.489956252063911535e+01 0.000000000000000000e+00 2.611789401539304566e-27
1.439847952876006643e-01 2.489956252063911535e+01 0.000000000000000000e+00 1.481357275235835935e-28
1.493993463605256256e-01 2.489956252063911535e+01 0.000000000000000000e+00 9.322862100807883724e-30
1.550175117335768904e-01 2.489956252063911535e+01 0.000000000000000000e+00 6.485889050898718347e-31
1.608469483265355104e-01 2.489956252063911535e+01 0.000000000000000000e+00 4.969845981727625161e-32
1.668956009978023181e-01 2.489956252063911535e+01 0.000000000000000000e+00 4.179737737745499758e-33
1.731717133723352786e-01 2.489956252063911535e+01 0.000000000000000000e+00 3.845231183829314986e-34
1.796838390767719340e-01 2.489956252063911535e+01 0.000000000000000000e+00 3.857011564758366457e-35
1.864408533970485227e-01 2.489956252063911535e+01 0.000000000000000000e+00 4.205071773669486111e-36
1.934519653744044276e-01 2.489956252063911535e+01 0.000000000000000000e+00 4.967960383154406293e-37
2.007267303562568217e-01 2.489956252063911535e+01 0.000000000000000000e+00 6.341629527759986596e-38
2.082750630190514374e-01 2.489956252063911535e+01 0.000000000000000000e+00 8.722144029805377876e-39
2.161072508808376536e-01 2.489956252063911535e+01 0.000000000000000000e+00 1.289053823998849717e-39
2.242339683219845003e-01 2.489956252063911535e+01 0.000000000000000000e+00 2.041797109252330602e-40
2.326662911331457972e-01 2.489956252063911535e+01 0.000000000000000000e+00 3.457460219603198934e-41
2.414157116103017864e-01 2.489956252063911535e+01 0.000000000000000000e+00 6.243868389943321542e-42
2.504941542174502489e-01 2.489956252063911535e+01 0.000000000000000000e+00 1.199745671272385301e-42
2.599139918382932790e-01 2.489956252063911535e+01 0.000000000000000000e+00 2.447300070431479734e-43
2.696880626390692481e-01 2.489956252063911535e+01 0.000000000000000000e+00 5.288188095297649639e-44
2.798296875655115756e-01 2.489956252063911535e+01 0.000000000000000000e+00 1.207928889930660553e-44
2.903526884977813971e-01 2.489956252063911535e+01 0.000000000000000000e+00 2.910828868685751664e-45
